1980,103,I Love All of You (Je Vous Aime),Drama,"Depardieu, Gérard","Berri, Claude"
1986,108,Love Songs,Drama,"Lambert, Christopher","Chouraqui, Elie"
1983,114,Le Choix des Armes,Mystery,"Montand, Yves","Comeau, Alain"
1981,135,Choice of Arms,Action,"Montand, Yves","Corneau, Alan"
1977,107,March or Die,War,"Hackman, Gene","Richards, Dick"
1980,135,"Last Metro, The",Drama,"Depardieu, Gérard","Truffaut, François"
1986,120,Jean de Florette,Drama,"Montand, Yves","Berri, Claude"
1989,127,Fat Man & Little Boy,Drama,"Newman, Paul","Joffe, Roland"
1990,125,Wild at Heart,Drama,"Cage, Nicolas","Lynch, David"
1989,113,Family Business,Action,"Connery, Sean","Lumet, Sidney"
1988,103,Stand & Deliver,Drama,"Olmos, Edward James","Menendez, Ramon"
1981,94,Looker,Science Fiction,"Finney, Albert","Crichton, Michael"
1989,89,Fire & Rain,Action,"Haid, Charles","Jameson, Jerry"
1990,56,"Best of Candid Camera, The",Comedy,"Allen, Woody",
1940,83,Seven Sinners,Drama,"Wayne, John","Garnett, Tay"
1961,190,Judgment at Nuremberg,Drama,"Tracy, Spencer","Kramer, Stanley"
1989,60,Minsky's Follies,Comedy,"Taylor, Rip",
1990,97,"Novice, The",Comedy,"Sharif, Omar",
1987,130,Wings of Desire,Drama,"Ganz, Bruno","Wenders, Wim"
1991,158,Until the End of the World,Drama,"Hurt, William","Wenders, Wim"
1987,118,Castaway,Drama,"Reed, Oliver","Roeg, Nicolas"
1993,30,"Alfred Hitchcock Presents, Sorcerer's Apprentice",Mystery,"Hitchcock, Alfred",
1991,99,Delicatessen,Comedy,"Benezech, Pascal","Caro, Marc"
1979,110,"Great Train Robbery, The",Mystery,"Connery, Sean","Crichton, Michael"
1991,110,Hanover Street,Drama,"Ford, Harrison","Hyams, Peter"
1991,102,Hunchback,Drama,"Hopkins, Anthony","Tuchner, Michael"
1946,97,My Darling Clementine,Western,"Fonda, Henry","Ford, John"
1950,86,Wagon Master,Western,"Johnson, Ben","Ford, John"
1949,93,She Wore a Yellow Ribbon,Western,"Wayne, John","Ford, John"
1985,90,Fantasy Man,Comedy,"Hopkins, Harold","Meagher, John"
